"","game_type","Team","Name","season","Date","TOI","svH","svM","svL","saH","saM","saL","G.H","G.M","G.L","la.svH","la.svM","la.svL","lgsaa","mgsaa","hgsaa","adjgsaa60","adjgsaa","Game.Number"
"934","playoff_game","PHI","Michael.Leighton","20092010",2010-06-06,14.6,1,0.8,1,4,5,2,0,1,0,0.820251449402559,0.906074866915768,0.965043610712971,0.0699127785740581,-0.53037433457884,0.718994202389764,1.06246293034924,0.258532646384982,13
"935","playoff_game","CHI","Antti.Niemi","20092010",2010-06-06,48.2,0.6667,1,0.8667,4,3,15,2,0,2,0.820251449402559,0.906074866915768,0.965043610712971,-1.47565416069456,0.281775399252696,-1.28100579761024,-3.08076916064577,-2.4748845590521,21
"936","playoff_game","PHI","Brian.Boucher","20092010",2010-06-06,33.6,0.5,1,0.8571,1,2,7,1,0,1,0.820251449402559,0.906074866915768,0.965043610712971,-0.755305274990797,0.187850266168464,-0.820251449402559,-2.47804724683016,-1.38770645822489,13
"937","playoff_game","PHI","Michael.Leighton","20092010",2010-06-09,50.5,0.75,1,0.9474,3,8,19,1,0,1,0.820251449402559,0.906074866915768,0.965043610712971,-0.335828603546448,0.751401064673856,-0.460754348207677,-0.0536814499963594,-0.0451818870802692,14
"938","playoff_game","CHI","Antti.Niemi","20092010",2010-06-09,50.5,0.9,0.5,1,10,2,8,1,1,0,0.820251449402559,0.906074866915768,0.965043610712971,0.279651114296232,-0.812149733831536,0.79748550597441,0.314835904680126,0.264986886439106,22
"939","playoff_game","NSH","Pekka.Rinne","20102011",2011-04-13,41.1,1,1,1,9,6,5,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.18749018084437,0.454024839428202,1.77254399213059,3.52417374073455,2.41405901240317,7
"940","playoff_game","VAN","Roberto.Luongo","20102011",2011-04-13,51.2,1,1,1,7,7,14,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.524972506364237,0.529695645999569,1.37864532721268,2.8515392338787,2.43331347957649,35
"941","playoff_game","PIT","Marc-Andre.Fleury","20102011",2011-04-13,44.4,1,1,1,4,6,13,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.487474470195362,0.454024839428202,0.78779732983582,2.33688735062079,1.72929663945938,63
"942","playoff_game","ANA","Ray.Emery","20102011",2011-04-13,9.5,1,NA,1,1,0,2,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.0749960723377481,0,0.196949332458955,1.71754992503181,0.271945404796703,31
"943","playoff_game","WSH","Michal.Neuvirth","20102011",2011-04-13,70.6,1,0.8571,1,6,7,12,0,1,0,0.803050667541045,0.924329193428633,0.962501963831126,0.449976434026488,-0.470304354000431,1.18169599475373,0.986998363835514,1.16136807477979,1
"944","playoff_game","NYR","Henrik.Lundqvist","20102011",2011-04-13,70.6,0.8889,0.875,1,9,8,12,1,1,0,0.803050667541045,0.924329193428633,0.962501963831126,0.449976434026488,-0.394633547429064,0.772543992130595,0.703586582488402,0.82788687872802,31
"945","playoff_game","CHI","Corey.Crawford","20102011",2011-04-13,51.2,0.7143,1,1,5,11,10,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.37498036168874,0.832378872285037,-1.01525333770523,0.22512409718971,0.192105896268553,2
"946","playoff_game","T.B","Dwayne.Roloson","20102011",2011-04-13,44.4,1,0.8182,1,7,11,9,0,2,0,0.803050667541045,0.924329193428633,0.962501963831126,0.337482325519866,-1.16762112771496,1.37864532721268,0.741225033807552,0.548506525017588,18
"947","playoff_game","DET","Jimmy.Howard","20102011",2011-04-13,43.7,0.8333,1,0.875,5,8,8,1,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.700015710649008,0.605366452570936,-0.0152533377052252,-0.150896012517112,-0.109902595783297,13
"948","playoff_game","PHX-ARI","Ilya.Bryzgalov","20102011",2011-04-13,43.7,0.8889,0.8889,0.875,9,9,8,1,1,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.700015710649008,-0.318962740857697,0.772543992130595,-0.33835394880015,-0.246434459376109,29
"949","playoff_game","ANA","Dan.Ellis","20102011",2011-04-13,31.7,0.8333,0.75,1,7,8,6,1,2,0,0.803050667541045,0.924329193428633,0.962501963831126,0.224988217013244,-1.39463354742906,0.378645327212685,-1.49716088934347,-0.791000003203135,7
"950","playoff_game","MTL","Carey.Price","20102011",2011-04-14,47.5,1,1,1,6,8,12,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.449976434026488,0.605366452570936,1.18169599475373,2.82573332381199,2.23703888135115,20
"951","playoff_game","BUF","Ryan.Miller","20102011",2011-04-14,45.1,1,1,1,10,5,6,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.224988217013244,0.378354032856835,1.96949332458955,3.42284111901503,2.57283557445963,41
"952","playoff_game","S.J","Antti.Niemi","20102011",2011-04-14,63.2,0.875,1,1,7,9,12,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.449976434026488,0.681037259142303,0.378645327212685,1.43322058896976,1.50965902038148,23
"953","playoff_game","PHI","Sergei.Bobrovsky","20102011",2011-04-14,45.1,0.8,1,1,4,3,14,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.524972506364237,0.227012419714101,-0.21220267016418,0.718113865961185,0.539782255914158,1
"954","playoff_game","L.A","Jonathan.Quick","20102011",2011-04-14,63.2,0.8333,0.9167,1,11,12,17,2,1,0,0.803050667541045,0.924329193428633,0.962501963831126,0.637466614870859,-0.0919503211435955,0.166442657048504,0.675910396306108,0.711958950775768,7
"955","playoff_game","BOS","Tim.Thomas","20102011",2011-04-14,47.5,NA,0.8571,0.8889,1,7,9,0,1,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.662517674480134,-0.470304354000431,0.196949332458955,-1.18215498444835,-0.935872696021609,19
"956","playoff_game","WSH","Michal.Neuvirth","20102011",2011-04-15,48.8,1,1,1,4,6,8,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.299984289350992,0.454024839428202,0.78779732983582,1.89566367862502,1.54180645861501,2
"957","playoff_game","T.B","Dwayne.Roloson","20102011",2011-04-15,41.7,0.75,1,1,3,5,15,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.562470542533111,0.378354032856835,-0.409152002623135,0.764996507578145,0.531672572766811,19
"958","playoff_game","ANA","Ray.Emery","20102011",2011-04-15,41.2,0.75,1,1,3,6,10,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.37498036168874,0.454024839428202,-0.409152002623135,0.611436696835642,0.419853198493808,32
"959","playoff_game","NYR","Henrik.Lundqvist","20102011",2011-04-15,48.8,0.6667,1,1,2,4,7,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.262486253182118,0.302683226285468,-0.60610133508209,-0.0503260519850455,-0.0409318556145036,32
"960","playoff_game","PIT","Marc-Andre.Fleury","20102011",2011-04-15,41.7,0.8333,1,1,5,3,5,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.18749018084437,0.227012419714101,-0.0152533377052252,0.574459371011865,0.399249262853246,64
"961","playoff_game","NSH","Pekka.Rinne","20102011",2011-04-15,41.2,0.6,1,1,3,3,12,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.449976434026488,0.227012419714101,-1.40915200262314,-1.06625701293575,-0.732163148882546,8
"962","playoff_game","CHI","Corey.Crawford","20102011",2011-04-15,50.8,1,0.7778,0.9167,6,9,12,0,2,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.550023565973512,-1.3189627408577,1.18169599475373,-0.811760211115132,-0.687290312077478,3
"963","playoff_game","VAN","Roberto.Luongo","20102011",2011-04-15,50.8,0.7778,0.75,1,8,4,10,2,1,0,0.803050667541045,0.924329193428633,0.962501963831126,0.37498036168874,-0.697316773714532,-0.42440534032836,-0.881978447662384,-0.746741752354152,36
"964","playoff_game","L.A","Jonathan.Quick","20102011",2011-04-16,41.6,1,1,1,3,4,13,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.487474470195362,0.302683226285468,0.590847997376865,1.99183513537168,1.3810056938577,8
"965","playoff_game","DET","Jimmy.Howard","20102011",2011-04-16,44.1,1,1,1,5,5,10,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.37498036168874,0.378354032856835,0.984746662294775,2.36473613175558,1.73808105684035,14
"966","playoff_game","MTL","Carey.Price","20102011",2011-04-16,47.5,0.8,1,1,4,9,13,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.487474470195362,0.681037259142303,-0.21220267016418,1.20796933790335,0.956309059173486,21
"967","playoff_game","PHI","Brian.Boucher","20102011",2011-04-16,22.1,0.6667,1,1,2,2,8,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.299984289350992,0.151341613142734,-0.60610133508209,-0.420204794357548,-0.154775432588364,14
"968","playoff_game","PHX-ARI","Ilya.Bryzgalov","20102011",2011-04-16,44.1,0.7778,1,1,7,7,8,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.299984289350992,0.529695645999569,-0.621354672787315,0.283435731378566,0.208325262563246,30
"969","playoff_game","BOS","Tim.Thomas","20102011",2011-04-16,47.5,0.7778,1,1,7,5,8,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.299984289350992,0.378354032856835,-0.621354672787315,0.0719793466364364,0.0569836494205122,20
"970","playoff_game","S.J","Antti.Niemi","20102011",2011-04-16,41.6,0.8333,1,0.9,5,2,10,1,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.62501963831126,0.151341613142734,-0.0152533377052252,-0.705189465683294,-0.488931362873751,24
"971","playoff_game","BUF","Ryan.Miller","20102011",2011-04-16,29.7,0.625,0.6667,1,6,3,6,3,1,0,0.803050667541045,0.924329193428633,0.962501963831126,0.224988217013244,-0.772987580285899,-1.81830400524627,-4.78041084549278,-2.36630336851892,42
"972","playoff_game","PHI","Sergei.Bobrovsky","20102011",2011-04-16,7.6,NA,0.5,NA,1,2,0,0,1,0,0.803050667541045,0.924329193428633,0.962501963831126,0,-0.848658386857266,0.196949332458955,-5.14507148209193,-0.651709054398311,2
"973","playoff_game","VAN","Roberto.Luongo","20102011",2011-04-17,48.2,1,1,1,3,5,15,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.562470542533111,0.378354032856835,0.590847997376865,1.90664635614126,1.53167257276681,37
"974","playoff_game","WSH","Michal.Neuvirth","20102011",2011-04-17,41.8,0.75,1,1,3,2,14,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.524972506364237,0.151341613142734,-0.409152002623135,0.383486292177754,0.267162116883836,3
"975","playoff_game","NYR","Henrik.Lundqvist","20102011",2011-04-17,41.8,0.8,1,1,4,7,8,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.299984289350992,0.529695645999569,-0.21220267016418,0.886331002659878,0.617477265186381,33
"976","playoff_game","CHI","Corey.Crawford","20102011",2011-04-17,48.2,0.6,1,1,3,5,12,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.449976434026488,0.378354032856835,-1.40915200262314,-0.723014359842089,-0.580821535739812,4
"977","playoff_game","ANA","Ray.Emery","20102011",2011-04-17,45,0.625,1,1,5,6,11,3,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.412478397857614,0.454024839428202,-2.01525333770523,-1.53166680055921,-1.14875010041941,33
"978","playoff_game","NSH","Pekka.Rinne","20102011",2011-04-17,45,0.5,1,1,2,2,5,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.18749018084437,0.151341613142734,-1.60610133508209,-1.68969272145998,-1.26726954109499,9
"979","playoff_game","DET","Jimmy.Howard","20102011",2011-04-18,42.5,1,1,1,2,11,9,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.337482325519866,0.832378872285037,0.39389866491791,2.2076609826675,1.56375986272281,15
"980","playoff_game","PIT","Marc-Andre.Fleury","20102011",2011-04-18,47.1,1,1,1,7,6,7,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.262486253182118,0.454024839428202,1.37864532721268,2.66898906983822,2.09515641982301,65
"981","playoff_game","PHI","Brian.Boucher","20102011",2011-04-18,45.4,0.8333,1,1,5,6,11,1,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.412478397857614,0.454024839428202,-0.0152533377052252,1.12499986728713,0.851249899580591,15
"982","playoff_game","BOS","Tim.Thomas","20102011",2011-04-18,44.7,0.8571,1,0.9474,6,5,19,1,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.287537312791393,0.378354032856835,0.18169599475373,0.365788878951908,0.272512714819172,21
"983","playoff_game","BUF","Ryan.Miller","20102011",2011-04-18,45.4,0.8,1,1,8,4,8,2,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.299984289350992,0.302683226285468,-0.42440534032836,0.235588777940221,0.1782621753081,43
"984","playoff_game","T.B","Dwayne.Roloson","20102011",2011-04-18,47.1,0.75,1,0.9,6,7,10,2,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.62501963831126,0.529695645999569,-0.81830400524627,-1.16385732172989,-0.913627997557961,20
"985","playoff_game","MTL","Carey.Price","20102011",2011-04-18,44.7,0.75,0.7778,1,5,9,7,1,2,0,0.803050667541045,0.924329193428633,0.962501963831126,0.262486253182118,-1.3189627408577,-0.0152533377052252,-1.43856352400108,-1.0717298253808,22
"986","playoff_game","PHX-ARI","Ilya.Bryzgalov","20102011",2011-04-18,42.5,0.8571,0.5,0.9231,8,4,13,1,2,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.512525529804638,-1.69731677371453,0.57559465967164,-2.30717314425534,-1.63424764384753,31
"987","playoff_game","VAN","Cory.Schneider","20102011",2011-04-19,9.8,1,NA,1,1,0,3,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.112494108506622,0,0.196949332458955,1.89455167938108,0.309443440965577,1
"988","playoff_game","S.J","Antero.Niittymaki","20102011",2011-04-19,36.5,1,1,1,3,2,4,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.149992144675496,0.151341613142734,0.590847997376865,1.46660014552618,0.892181755195095,4
"989","playoff_game","CHI","Corey.Crawford","20102011",2011-04-19,46.1,NA,1,1,0,5,11,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.412478397857614,0.378354032856835,0,1.02928299008388,0.79083243071445,5
"990","playoff_game","L.A","Jonathan.Quick","20102011",2011-04-19,51.4,0.625,1,0.9231,5,8,13,3,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.512525529804638,0.605366452570936,-2.01525333770523,-2.24406118475361,-1.92241241493893,9
"991","playoff_game","VAN","Roberto.Luongo","20102011",2011-04-19,36.2,0.7143,0,0.9231,7,2,13,2,2,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.512525529804638,-1.84865838685727,-0.621354672787315,-4.94343412615893,-2.98253858944922,38
"992","playoff_game","S.J","Antti.Niemi","20102011",2011-04-19,14.9,0.3333,0,0.5,2,1,2,2,1,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.925003927662252,-0.924329193428633,-1.60610133508209,-13.9145011657972,-3.45543445617298,25
"993","playoff_game","BUF","Ryan.Miller","20102011",2011-04-20,40.3,1,1,1,8,6,7,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.262486253182118,0.454024839428202,1.57559465967164,3.41256439545701,2.29210575228196,44
"994","playoff_game","NSH","Anders.Lindback","20102011",2011-04-20,11.3,1,1,1,3,1,4,0,0,0,0.803050667541045,0.924329193428633,0.962501963831126,0.149992144675496,0.075670806571367,0.590847997376865,4.33545636437378,0.816510948623728,1
"995","playoff_game","T.B","Dwayne.Roloson","20102011",2011-04-20,70.9,0.9286,1,0.9524,13,12,21,1,0,1,0.803050667541045,0.924329193428633,0.962501963831126,-0.212541240453645,0.908049678856405,1.56034132196641,1.90904069988929,2.25584976036917,21
